stock_code,corp_name,revenue,operating_profit,net_income,cash_survival_years,inventory_months,cash_flow_match,cash_to_revenue,cash_to_op_profit_x3,happy_debt_growth,sga_ratio,sga_ratio_change,current_ratio,quick_ratio,debt_ratio,cash_months,revenue_growth,gross_margin,operating_margin,net_margin,roa,roe,inventory_turnover,receivable_turnover,debt_growth,revenue_minus_debt_growth,current_assets,cash,short_term_financial,receivables,inventory,total_assets,current_liabilities,total_liabilities,total_equity,advances,cogs,gross_profit,sga,operating_cash_flow,market
006570,대림통상,126171254752.0,-9566103074.0,0.0,,5.172668030884134,,3.066290422176113,-13.48085376762967,619.1575126638318,25.150204991915558,5.237749700517508,76.82025518588374,34.25884071745118,231.72515359618848,1.4630292308925963,-7.8813085483515195,17.56836466481176,-7.581840327103796,0.0,0.0,0.0,2.8143151134298368,5.149215447790593,11.901173641960753,-19.782482190312273,80918419575.0,2531797100.0,1336980000.0,24503005561.0,44831957214.0,154793298808.0,105334744566.0,116613540706.0,50324075266.0,1553974985.0,104005028615.0,22166226137.0,31732329211.0,,KOSPI
006620,동구바이오제약,242687805574.0,9247532027.0,0.0,,6.110139396217242,,9.090252300407906,79.52007722921365,,55.73045150789806,-0.16730819912903172,91.87279530816782,55.505109058436084,,1.9573325651136297,-2.6424861508221644,59.54091573997101,3.8104642320729445,0.0,0.0,,4.8541599071989605,12.38455977255712,32.88116397914557,-35.523650129967734,126300518808.0,21560933829.0,500000000.0,19595997761.0,49995840725.0,336349564434.0,137473251341.0,184190417288.0,,,98189263746.0,144498541828.0,135251009801.0,,KOSDAQ
006650,대한유화,3347821791902.0,52668902480.0,31707515763.0,,0.8459229859352335,,7.212314508886143,152.81340946914423,,2.0272612724239867,0.20743965814395704,178.97097908552772,125.65046559549864,33.726312149878616,42.691968363381676,19.560680297367558,3.6004902479745997,1.5732289755506126,0.947108828782251,1.1742108581362372,1.7279915709933251,14.715519371266895,12.323509084614201,50.170929593177284,-30.610249295809727,763616014970.0,151455436829.0,90000000000.0,271661404955.0,227502795344.0,2700325545731.0,426670300890.0,618855781516.0,1834934631352.0,,3227283794765.0,120537997137.0,67869094657.0,,KOSPI
006660,삼성공조,117736352607.0,3245098937.0,0.0,,1.6343881464312804,,309.4537133149972,3742.4592401983004,,,,764.161872076331,719.7440374361074,965.1125014366908,,1.696298943230731,12.266499602045041,2.7562421165126727,0.0,0.0,0.0,8.368749818909738,7.0090038385092,-2.110752462589128,3.807051405819859,242034889495.0,7655165038.0,356684350026.0,16797872468.0,14068571191.0,334084121584.0,31673248606.0,39214036160.0,4063157000.0,,103294223383.0,14442129224.0,,,KOSPI
006730,서부T&D,248329962530.0,70337173396.0,79133576338.0,,31.000835790244565,1.3411295691818377,61.183729822632614,72.00437834277093,433.97658827837154,,,46.562985056141706,21.980765796345576,3993.403323992439,,32.45740210735419,51.631500526043276,28.324078447643135,31.86630221008474,2.431028421323042,169.15314159945942,0.8002860170939227,18.01810295874384,12.979232753425313,19.478169353928877,587764863478.0,101942784570.0,49994748773.0,13782247948.0,310301513741.0,3255148135822.0,1262300650977.0,1868202291719.0,46782209062.0,2444473500.0,120113476620.0,128216485910.0,,106128379142.0,KOSDAQ
006740,블루산업개발,93251674239.0,-15806498653.0,,,1.0493047849361827,,4.879085583320451,-9.594848916011019,-62.05297215352229,16.597084110611217,0.06748395178296818,44.61552039705757,33.07617201228208,100.8825112190021,3.5276694755323046,5.832045909136769,-0.3532803541474869,-16.950364464758703,,,,11.395883989417023,7.723079862903921,12.678082411191408,-6.8460365020546385,31638311383.0,4549828994.0,,12074415375.0,8182925899.0,165184475641.0,70913240732.0,82955079643.0,82229395998.0,200000000.0,93581114084.0,-329439845.0,15477058808.0,-6296582553.0,KOSPI
006800,미래에셋증권,,1915104000000.0,0.0,,,,,29.555522833224725,,,,,,-55611.85808187771,,,,,,0.0,-0.0,,,9.52055425217896,,0.0,1698057000000.0,,,,150283930000000.0,,136805727000000.0,-246001000000.0,,,,,,KOSPI
006840,AK홀딩스,3235721337340.0,-147853720731.0,-119339140410.0,3.5579273458837544,0.9584804846384181,-0.38878116941851365,13.122266933160947,-95.7252409114778,,16.940776165126277,-1.6873046273688281,51.550644368116785,44.10897565281405,1564.0355863370405,9.295158714279463,-27.907328570643415,12.371355460544017,-4.569420704582262,-3.6881773171513443,-1.9968213146373548,-38.457071844181606,14.28735636451269,13.732708512705813,18.613465940442737,-46.52079451108615,1568855704846.0,424599991099.0,,235621496979.0,226474461390.0,5976455656558.0,3043328990503.0,4853480868236.0,310317802909.0,,2835418748985.0,400302588355.0,548156309086.0,46396810566.0,KOSPI
006880,신송홀딩스,187759398480.0,10311259918.0,3638970096.0,,0.9274432368052236,-2.457304452660718,3.6590710380507603,22.209538652034976,,9.763180664936268,0.3134760735644875,52.5383932422304,40.94145599696371,602.0406238306502,4.497392188419137,14.083619083185042,15.25492169173677,5.4917410268005025,1.9381027663377504,1.3255365534500454,13.227733059625898,15.267904055594812,12.553466822453148,11.805763282592313,2.2778558005927287,55712897135.0,5128392579.0,1741857192.0,14956776573.0,12297653810.0,274528083479.0,106042255381.0,165622319170.0,27510156726.0,,159116849273.0,28642549207.0,18331289289.0,-8942057420.0,KOSPI
006890,태경케미컬,61347896962.0,2063376471.0,8746862173.0,,0.9215393938717802,0.8223065708297402,16.312279255796927,161.6644758505956,,22.499029669345685,2.4249488024629393,485.7417008206579,441.5287054940593,404.6991982738881,8.700257475381864,-13.7360107538251,25.862431795873498,3.363402126527814,14.25780280360379,3.897342848981363,68.24025708833402,17.564225505731578,6.785123465730624,152.7375598355382,-166.4735705893633,38373032896.0,10007240270.0,,9041529940.0,3492775525.0,224431427050.0,7899884410.0,51873311442.0,12817745047.0,,45481838952.0,15866058010.0,13802681539.0,7192602239.0,KOSPI
