corp_code,corp_name,stock_code,modify_date,market
00160232,KSS해운,044450,20231116,KOSPI
00409371,인베니아,079950,20231117,KOSDAQ
00525882,크레버스,096240,20231218,KOSDAQ
01516368,산돌,419120,20231220,KOSDAQ
00508344,SK디앤디,210980,20230224,KOSPI
00892526,디케이앤디,263020,20230223,KOSDAQ
00410997,누리플랜,069140,20231220,KOSDAQ
01305249,스톤브릿지벤처스,330730,20230509,KOSDAQ
00494218,엘엠에스,073110,20230411,KOSDAQ
00111722,미래에셋증권,006800,20231207,KOSPI
00536888,케이알엠,093640,20231215,KOSDAQ
00128227,삼정펄프,009770,20231130,KOSPI
01080252,넥스틴,348210,20231218,KOSDAQ
01416572,세림B&G,340440,20240220,KOSDAQ
01402995,케이엔에스,432470,20231206,KOSDAQ
00158316,NICE,034310,20240102,KOSPI
00583424,아모레퍼시픽,090430,20240102,KOSPI
01494154,지니너스,389030,20230918,KOSDAQ
01021639,나라셀라,405920,20230919,KOSDAQ
00113997,롯데에너지머티리얼즈,020150,20230331,KOSPI
00173032,동화기업,025900,20230331,KOSDAQ
00480455,STX엔진,077970,20230331,KOSPI
00228350,신화인터텍,056700,20230331,KOSDAQ
00520610,씨큐브,101240,20230823,KOSDAQ
00133751,세명전기,017510,20240103,KOSDAQ
00137234,모베이스전자,012860,20240103,KOSDAQ
00255433,라온시큐어,042510,20240103,KOSDAQ
00389970,다날,064260,20240103,KOSDAQ
00361594,DMS,068790,20230331,KOSDAQ
00363592,한컴위드,054920,20230331,KOSDAQ
00106313,금호건설,002990,20231219,KOSPI
01309421,제이엔비,452160,20240221,KOSDAQ
00365934,코세스,089890,20240221,KOSDAQ
00828789,대성산업,128820,20231020,KOSPI
01112700,에스엘에스바이오,246250,20231020,KOSDAQ
00125576,체시스,033250,20231004,KOSPI
01203376,유비쿼스,264450,20231004,KOSDAQ
00855163,미원화학,134380,20230322,KOSPI
00372688,티사이언티픽,057680,20230630,KOSDAQ
01363818,롯데리츠,330590,20230704,KOSPI
00965512,라온텍,418420,20230706,KOSDAQ
00441304,가온그룹,078890,20230417,KOSDAQ
00619507,와이씨켐,112290,20230417,KOSDAQ
01497124,캡스톤파트너스,452300,20231115,KOSDAQ
00269852,폴라리스오피스,041020,20231115,KOSDAQ
00135917,한화손해보험,000370,20230323,KOSPI
00472890,동국알앤에스,075970,20230323,KOSDAQ
00456218,모두투어,080160,20230713,KOSDAQ
00127255,삼영,003720,20230424,KOSPI
00531917,톱텍,108230,20230410,KOSDAQ
01134216,트루엔,417790,20230517,KOSDAQ
00614593,넥스트아이,137940,20240111,KOSDAQ
00800084,씨엑스아이,900120,20231124,KOSDAQ
00114552,도화엔지니어링,002150,20230327,KOSPI
00116301,NI스틸,008260,20230327,KOSPI
00163318,모헨즈,006920,20230327,KOSDAQ
00121570,문배철강,008420,20230327,KOSPI
00142865,WISCOM,024070,20230327,KOSPI
00490151,파트론,091700,20230327,KOSDAQ
00138747,아세아텍,050860,20231128,KOSDAQ
00483735,해성옵틱스,076610,20231128,KOSDAQ
00231105,동성화인텍,033500,20230713,KOSDAQ
01030503,우진엔텍,457550,20240124,KOSDAQ
