stock_code,corp_name,revenue,operating_profit,net_income,cash_survival_years,inventory_months,cash_flow_match,cash_to_revenue,cash_to_op_profit_x3,happy_debt_growth,sga_ratio,sga_ratio_change,current_ratio,quick_ratio,debt_ratio,cash_months,revenue_growth,gross_margin,operating_margin,net_margin,roa,roe,inventory_turnover,receivable_turnover,debt_growth,revenue_minus_debt_growth,current_price,low_52w,high_52w,pct_from_low,range_position,bottom_dwell_ratio,market
000860,강남제비스코,643137092555.0,20529999372.0,0.0,,1.8724178194010155,,8.80129714166024,91.90519284866672,-0.9551083991105,10.181514936863973,0.2306253589143079,162.17212760880602,118.11208439333247,1915.5413339928134,10.373266292378856,0.6806489036347053,13.373680279161396,3.192165342297421,0.0,0.0,0.0,7.398243419092408,5.2111402883885525,-9.818867032056303,10.499515935691008,12250.0,11110.0,18880.0,10.26,14.67,23.33,KOSPI
000880,한화,55646829000000.0,2416109000000.0,0.0,,3.2880199511909067,,15.893685514407299,122.01894312991122,,8.099315057107747,0.5942204216942377,141.5124551182961,118.80283431198546,11848.736219706218,23.548192017238918,4.727627440789149,12.441177915097372,4.341862857989626,0.0,0.0,0.0,4.168184089483016,,20.355682054222342,-15.628054613433193,90900.0,74100.0,166400.0,22.67,18.2,8.33,KOSPI
000890,보해양조,,2300656654.0,6685688838.0,,4.382569711719663,0.4920399155136391,,264.0454454067066,,,,132.45297823548452,81.18005689563354,59.49715118874907,8.849696137620812,,,,,4.815678399325822,7.680869857336638,,,-18.168898929011178,,1442.0,1230.0,4390.0,17.24,6.71,30.0,KOSPI
000910,유니온,218159407914.0,,,,3.5745385560309817,,3.5340616495619077,,,16.786408455708823,3.257309973042135,77.77542200927475,41.18400488902598,3137.3365166216886,2.526373637734299,-2.8890962460925196,11.534915533379165,,,,,3.7948041222682063,,-1.395571408253515,-1.4935248378390047,2740.0,2610.0,6150.0,4.98,3.67,30.0,KOSPI
000950,전방,57235842614.0,-8482983755.0,8913315702.0,,,1.1305615997354248,37.12132048843641,-83.48752901350647,,8.334241617040869,1.3689979118364013,579.0574456012927,,47.74313825787534,53.44887589416914,-39.60706262291965,-6.486862375800579,-14.821103992841447,15.572961443254416,3.842377008307836,12.78065856073204,,0.8339244284448412,-29.396480459560248,-10.210582163359401,25400.0,22750.0,46500.0,11.65,11.16,37.5,KOSPI
000970,한국주철관공업,419416899335.0,15445910306.0,13647861616.0,,2.957062871966203,1.78289120806103,12.018204217074004,108.78042252910474,32.272566652487754,14.53443453224083,2.0110249001590326,416.7631661837614,274.9383026658882,20.904461529765424,9.922536049474594,-8.088257652317896,18.264159526346376,3.682710527518091,3.25400851459232,3.176093008782073,3.870023150877522,4.96487312599004,9.87254471904524,-1.1288177223381308,-6.959439929979766,6530.0,6130.0,7880.0,6.53,22.86,11.67,KOSPI
000990,DB하이텍,1131167709804.0,190838683363.0,0.0,,1.1348591944034538,,38.47005490162032,76.00849599296866,,17.327054314869102,2.028309763841998,376.9314718600541,354.716269519121,22.4653811468501,26.64276630236507,-1.9975270266664946,34.19799941955805,16.870945104688946,0.0,0.0,0.0,16.069418738625604,11.263549655438458,30.618943004069614,-32.61647003073611,105900.0,42450.0,230500.0,149.47,33.74,17.5,KOSPI
001020,페이퍼코리아,290184364896.0,2037606335.0,0.0,,4.806045987475906,,25.19821752154226,1196.195853667354,-25.399014197444604,10.97790262284359,2.226813763429032,171.06632123705396,97.0980612070329,71.91620466773738,27.54429699797997,-19.854446493958296,11.680079094594667,0.7021764717510757,0.0,0.0,0.0,2.827057569756222,,4.971215280781778,-24.825661774740073,1830.0,1725.0,5200.0,6.09,3.02,30.83,KOSPI
001040,CJ,43646656090000.0,2547483645000.0,100471747000.0,,1.1923101788521382,,7.231708677731147,41.30087380142271,,23.086165229296036,0.45562328963436727,81.02656702716678,62.79287684107121,2996.5836428695725,3.7589830650025178,5.547324812790292,28.922771909420746,5.836606680124714,0.23019345810324138,0.21153285751408812,10.119860435661371,14.159943219526637,,1.4999959203463833,4.047328892443908,131900.0,125400.0,235000.0,5.18,5.93,10.0,KOSPI
001060,JW중외제약,719375756340.0,82488136816.0,65040120873.0,,3.386910001953933,1.2206599760480736,4.350207757378092,12.645996206220497,,33.502663967604015,2.0757791949752757,146.87975987857288,93.32013857566612,167.62515101270677,1.5581594687221059,-3.8944437349491117,44.96929126064465,11.466627293040643,9.041188877966574,10.757572010808632,39.62883841289589,6.438318887792366,5.308910991509116,-27.525558814266393,23.631115079317283,23400.0,20700.0,39250.0,13.04,14.56,12.5,KOSPI
