stock_code,current_price,low_52w,high_52w,avg_52w,pct_from_avg_52w,range_position,bottom_dwell_ratio,corp_name,market_cap,updated_at
001250,2470.0,2200.0,5690.0,2743.79,-9.98,7.74,158.64,GS글로벌,203858397080.0,2026-08-03T22:19:26
001260,7110.0,6420.0,13400.0,8563.64,-16.97,9.89,108.72,남광토건,69909586920.0,2026-08-03T22:19:26
001340,4610.0,4075.0,8200.0,6087.67,-24.27,12.97,101.23,PKC,207579490290.0,2026-08-03T22:19:26
001360,1245.0,1140.0,2320.0,1626.89,-23.47,8.9,103.51,삼성제약,117231788355.0,2026-08-03T22:19:26
001380,1320.0,1126.0,3989.0,2828.9,-53.34,6.78,254.26,SG글로벌,29676333720.0,2026-08-03T22:19:26
001390,4050.0,3570.0,7400.0,5058.09,-19.93,12.53,107.28,KG케미칼,272293771500.0,2026-08-03T22:19:26
0013V0,4670.0,3965.0,25600.0,7887.18,-40.79,3.26,545.65,삼진식품,46320123520.0,2026-08-03T22:19:26
001420,2670.0,1992.0,4550.0,3191.65,-16.34,26.51,128.41,태원물산,20292000000.0,2026-08-03T22:19:26
001430,35100.0,23050.0,92500.0,45532.54,-22.91,17.35,301.3,세아베스틸지주,1258760376900.0,2026-08-03T22:19:26
001460,32700.0,29150.0,71500.0,41576.47,-21.35,8.38,145.28,BYC,204249105000.0,2026-08-03T22:19:26
001450,37300.0,25500.0,44250.0,30694.3,21.52,62.93,73.53,현대해상,3179759725000.0,2026-08-03T22:19:26
001440,23950.0,14740.0,75900.0,27508.46,-12.94,15.06,414.93,대한전선,4694022674200.0,2026-08-03T22:19:26
001520,1042.0,970.0,2660.0,1498.92,-30.48,4.26,174.23,동양,111621157344.0,2026-08-03T22:19:26
001500,7450.0,6560.0,14880.0,9151.69,-18.59,10.7,126.83,현대차증권,460656177800.0,2026-08-03T22:19:26
001510,2030.0,1219.0,6190.0,2242.26,-9.47,16.31,407.79,SK증권,469529022550.0,2026-08-03T22:19:26
001530,23550.0,14981.0,41953.0,25767.42,-8.61,31.77,180.04,디아이동일,487852874550.0,2026-08-03T22:19:26
001540,10490.0,7280.0,12730.0,8632.5,21.52,58.9,74.86,안국약품,136814985800.0,2026-08-03T22:19:26
0015G0,13260.0,11000.0,55000.0,26174.71,-49.34,5.14,400.0,그린광학,155175693660.0,2026-08-03T22:19:26
001550,9500.0,8640.0,20950.0,12670.48,-25.02,6.99,142.48,조비,49326270500.0,2026-08-03T22:19:26
0015N0,5310.0,4500.0,31500.0,9390.81,-43.46,3.0,600.0,아로마티카,66783455820.0,2026-08-03T22:19:26
001560,8360.0,8030.0,12900.0,9985.4,-16.28,6.78,60.65,제일연마,63536000000.0,2026-08-03T22:19:26
0015S0,5900.0,4450.0,47000.0,14986.43,-60.63,3.41,956.18,페스카로,58213707000.0,2026-08-03T22:19:26
001630,38400.0,36000.0,59300.0,47266.36,-18.76,10.3,64.72,종근당홀딩스,192378662400.0,2026-08-03T22:19:26
001620,2075.0,1890.0,4820.0,2634.75,-21.25,6.31,155.03,케이비아이동국실업,46186607450.0,2026-08-03T22:19:26
001720,140500.0,115200.0,272000.0,160573.16,-12.5,16.14,136.11,신영증권,2309820000000.0,2026-08-03T22:19:26
001680,17480.0,15880.0,24700.0,20995.07,-16.74,18.14,55.54,대상,605647477000.0,2026-08-03T22:19:26
001740,7060.0,4275.0,16240.0,5832.41,21.05,23.28,279.88,SK네트웍스,1416192856340.0,2026-08-03T22:19:26
0017J0,2800.0,2260.0,8430.0,3869.21,-27.63,8.75,273.01,세미티에스,84382544400.0,2026-08-03T22:19:26
001750,19350.0,16490.0,31500.0,20891.36,-7.38,19.05,91.02,한양증권,292368554100.0,2026-08-03T22:19:26
001790,2670.0,2150.0,3410.0,2839.08,-5.96,41.27,58.6,대한제당,230265913050.0,2026-08-03T22:19:26
001780,1578.0,1380.0,3495.0,2180.52,-27.63,9.36,153.26,알루코,152797948296.0,2026-08-03T22:19:26
001800,25500.0,18360.0,29950.0,22540.59,13.13,61.6,63.13,오리온홀딩스,1533994626000.0,2026-08-03T22:19:26
001810,1180.0,995.0,2320.0,1473.75,-19.93,13.96,133.17,무림SP,26122250000.0,2026-08-03T22:19:26
001820,74500.0,24950.0,196800.0,52123.71,42.93,28.83,688.78,삼화콘덴서공업,774427500000.0,2026-08-03T22:19:26
001940,27550.0,20150.0,29450.0,25416.73,8.39,79.57,46.15,KISCO홀딩스,390559269000.0,2026-08-03T22:19:26
002020,24000.0,20200.0,88200.0,50997.61,-52.94,5.59,336.63,코오롱,309784320000.0,2026-08-03T22:19:26
002030,183900.0,157800.0,402000.0,294681.25,-37.59,10.69,154.75,아세아,378622882800.0,2026-08-03T22:19:26
002100,9110.0,8550.0,11900.0,9518.12,-4.29,16.72,39.18,경농,177850658250.0,2026-08-03T22:19:26
002150,4950.0,4465.0,7650.0,6229.39,-20.54,15.23,71.33,도화엔지니어링,166914000000.0,2026-08-03T22:19:26
002070,6590.0,2978.0,15912.0,10568.68,-37.65,27.93,434.32,비비안,15844626960.0,2026-08-03T22:19:26
002140,2020.0,1648.0,3320.0,2523.74,-19.96,22.25,101.46,고려산업,50377638500.0,2026-08-03T22:19:26
002170,54100.0,49050.0,62700.0,55842.83,-3.12,37.0,27.83,SYTS,162300000000.0,2026-08-03T22:19:26
002200,2280.0,2150.0,3785.0,2886.73,-21.02,7.95,76.05,한국수출포장공업,76379865480.0,2026-08-03T22:19:26
002210,1729.0,1681.0,2820.0,1944.3,-11.07,4.21,67.76,동성제약,167055127603.0,2026-08-03T22:19:26
002230,4975.0,3715.0,16990.0,6943.51,-28.35,9.49,357.34,피에스텍,91644823250.0,2026-08-03T22:19:26
002220,3405.0,2330.0,6470.0,4077.04,-16.48,25.97,177.68,한일철강,90904851300.0,2026-08-03T22:19:26
002240,16660.0,15300.0,28300.0,19610.81,-15.05,10.46,84.97,고려제강,449820000000.0,2026-08-03T22:19:26
002310,7310.0,6800.0,11380.0,8169.26,-10.52,11.14,67.35,아세아제지,288375918100.0,2026-08-03T22:19:26
002350,6100.0,5620.0,10110.0,6989.01,-12.72,10.69,79.89,넥센타이어,595774049700.0,2026-08-03T22:19:26
002290,3175.0,3005.0,4600.0,3657.65,-13.2,10.66,53.08,삼일기업공사,39370000000.0,2026-08-03T22:19:26
002320,14920.0,13700.0,23850.0,19355.15,-22.91,12.02,74.09,한진,231537750720.0,2026-08-03T22:19:26
002360,1938.0,1550.0,6050.0,3693.88,-47.53,8.62,290.32,SH에너지화학,21537716874.0,2026-08-03T22:19:26
002380,370500.0,303000.0,692000.0,451446.69,-17.93,17.35,128.38,케이씨씨,3183667968000.0,2026-08-03T22:19:26
002390,9050.0,6460.0,13460.0,10694.01,-15.37,37.0,108.36,한독,124559973650.0,2026-08-03T22:19:26
002450,1107.0,1045.0,1422.0,1227.55,-9.82,16.45,36.08,삼익악기,100217722905.0,2026-08-03T22:19:26
002420,5290.0,4375.0,8460.0,5429.19,-2.56,22.4,93.37,세기상사,31581024920.0,2026-08-03T22:19:26
002600,134600.0,132300.0,164400.0,150446.69,-10.53,7.17,24.26,조흥,80760000000.0,2026-08-03T22:19:26
002620,6970.0,6050.0,9920.0,8221.32,-15.22,23.77,63.97,제일파마홀딩스,111334284350.0,2026-08-03T22:19:26
002460,11200.0,9580.0,15780.0,11681.62,-4.12,26.13,64.72,HS화성,113680000000.0,2026-08-03T22:19:26
002630,866.0,745.0,1936.0,1156.08,-25.09,10.16,159.87,오리엔트바이오,51346440732.0,2026-08-03T22:19:26
002700,1104.0,994.0,1773.0,1327.14,-16.81,14.12,78.37,신일전자,75676463184.0,2026-08-03T22:19:26
002680,1689.0,1495.0,5150.0,3358.8,-49.71,5.31,244.48,한탑,10916613351.0,2026-08-03T22:19:26
002690,1456.0,1251.0,1990.0,1588.28,-8.33,27.74,59.07,동일제강,29557324160.0,2026-08-03T22:19:26
002710,8810.0,6310.0,22950.0,15551.58,-43.35,15.02,263.71,TCC스틸,230942670570.0,2026-08-03T22:19:26
002760,970.0,814.0,1527.0,1056.88,-8.22,21.88,87.59,보락,58103000000.0,2026-08-03T22:19:26
002720,3185.0,2810.0,5470.0,4376.18,-27.22,14.1,94.66,국제약품,67394064920.0,2026-08-03T22:19:26
002800,4220.0,3900.0,6990.0,5416.71,-22.09,10.36,79.23,신신제약,64019510000.0,2026-08-03T22:19:26
002790,25300.0,19950.0,35950.0,27370.96,-7.57,33.44,80.2,아모레퍼시픽홀딩스,1934391954000.0,2026-08-03T22:19:26
002810,22250.0,14510.0,23900.0,17910.11,24.23,82.43,64.71,삼영무역,410889593000.0,2026-08-03T22:19:26
002780,757.0,621.0,1645.0,813.65,-6.96,13.28,164.9,진흥기업,110122110965.0,2026-08-03T22:19:26
002820,2175.0,1613.0,3100.0,2469.27,-11.92,37.79,92.19,SUN&L,27422376075.0,2026-08-03T22:19:26
002870,1054.0,664.0,1471.0,1113.6,-5.35,48.33,121.54,신풍,36846469800.0,2026-08-03T22:19:26
002840,119900.0,109100.0,171900.0,144336.4,-16.93,17.2,57.56,미원상사,539550000000.0,2026-08-03T22:19:26
002900,6100.0,4800.0,9900.0,6396.71,-4.64,25.49,106.25,TYM,252540000000.0,2026-08-03T22:19:26
002920,1830.0,1600.0,2590.0,2027.86,-9.76,23.23,61.88,유성기업,47483925000.0,2026-08-03T22:19:26
002880,771.0,684.0,1530.0,1027.57,-24.97,10.28,123.68,디와이에이,36062750145.0,2026-08-03T22:19:26
003010,4325.0,3925.0,8780.0,5368.14,-19.43,8.24,123.69,혜인,54982630775.0,2026-08-03T22:19:26
002960,493500.0,401000.0,620000.0,464397.06,6.27,42.24,54.61,한국쉘석유,641550000000.0,2026-08-03T22:19:26
003000,4015.0,3200.0,9890.0,4465.92,-10.1,12.18,209.06,부광약품,396138654065.0,2026-08-03T22:19:26
003030,105500.0,94400.0,260000.0,162148.16,-34.94,6.7,175.42,세아제강지주,436944813500.0,2026-08-03T22:19:26
003070,8500.0,7900.0,13570.0,9633.35,-11.76,10.58,71.77,코오롱글로벌,216103651500.0,2026-08-03T22:19:26
003080,2205.0,2040.0,2985.0,2659.15,-17.08,17.46,46.32,SB성보,44144100000.0,2026-08-03T22:19:26
003090,16200.0,15410.0,30600.0,22308.93,-27.38,5.2,98.57,대웅,941900076000.0,2026-08-03T22:19:26
0030R0,3630.0,3455.0,4960.0,4339.58,-16.35,11.63,43.56,대신밸류리츠,217001400000.0,2026-08-03T22:19:26
003100,19400.0,17280.0,30450.0,20230.37,-4.1,16.1,76.22,선광,128040000000.0,2026-08-03T22:19:26
003120,20200.0,17120.0,31450.0,22762.68,-11.26,21.49,83.7,일성아이에스,268660000000.0,2026-08-03T22:19:26
003160,21100.0,12480.0,41700.0,24108.27,-12.48,29.5,234.13,디아이,597130000000.0,2026-08-03T22:19:26
003200,10150.0,9300.0,17800.0,11551.32,-12.13,10.0,91.4,일신방직,233044000000.0,2026-08-03T22:19:26
003230,1151000.0,981000.0,1665000.0,1289154.41,-10.72,24.85,69.72,삼양식품,8670500265000.0,2026-08-03T22:19:26
003220,7480.0,7060.0,13670.0,11422.02,-34.51,6.35,93.63,대원제약,167758320840.0,2026-08-03T22:19:26
003240,868000.0,708000.0,1634000.0,952599.26,-8.88,17.28,130.79,태광산업,966431200000.0,2026-08-03T22:19:26
003280,1564.0,1524.0,4795.0,1991.49,-21.47,1.22,214.63,흥아해운,376024542036.0,2026-08-03T22:19:26
003300,17800.0,15250.0,23800.0,17133.12,3.89,29.82,56.07,한일홀딩스,548799703200.0,2026-08-03T22:19:26
003310,1497.0,1355.0,6090.0,2458.33,-39.11,3.0,349.45,대주산업,52982347950.0,2026-08-03T22:19:26
003350,8030.0,6750.0,14260.0,10149.93,-20.89,17.04,111.26,한국화장품제조,181959800000.0,2026-08-03T22:19:26
003380,10110.0,7060.0,19610.0,10766.4,-6.1,24.3,177.76,하림지주,1132376828310.0,2026-08-03T22:19:26
003470,4330.0,3265.0,8400.0,4320.97,0.21,20.74,157.27,유안타증권,834304841660.0,2026-08-03T22:19:26
003460,3025.0,2620.0,4940.0,3036.76,-0.39,17.46,88.55,유화증권,171524805375.0,2026-08-03T22:19:26
003520,1157.0,1081.0,2385.0,1828.12,-36.71,5.83,120.63,영진약품,211606889767.0,2026-08-03T22:19:26
003480,4665.0,4230.0,6790.0,5023.0,-7.13,16.99,60.52,한진중공업홀딩스,137756572980.0,2026-08-03T22:19:26
003490,26200.0,21000.0,31200.0,24295.59,7.84,50.98,48.57,대한항공,9647381318200.0,2026-08-03T22:19:26
003530,4175.0,3515.0,10300.0,5960.75,-29.96,9.73,193.03,한화투자증권,895736960625.0,2026-08-03T22:19:26
003550,99700.0,70100.0,185900.0,89231.99,11.73,25.56,165.19,LG,15073842798800.0,2026-08-03T22:19:26
003540,25850.0,22750.0,51400.0,30315.26,-14.73,10.82,125.93,대신증권,1232169357100.0,2026-08-03T22:19:26
003610,5290.0,4130.0,6280.0,5172.32,2.28,53.95,52.06,방림,169866015620.0,2026-08-03T22:19:26
